TABELA,FILIAL,DESC FILIAL,DT EMISSAO,GRUPO DE PRODUTO,COD PRODUTO,DESC PRODUTO,QTDE,VLR UNIT.,R$ TOTAL,NATUREZA,NATUREZA DESCR.,DESC NATUREZA,TES,CFOP,C.C,DESC C.C,CLASSE_VALOR,DESC CLASSE VALOR,DOC,FORNECEDOR,DESC FORNECEDOR
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-04-28 00:00:00,PECAS,020603390,IMPULSOR BM 03 EM FERRO,4,19083.33375,76333.335,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101124,BM-03,TROCA0LVH,"",BRAIANN.ARAGAO
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-07-22 00:00:00,PECAS,020603390,IMPULSOR BM 03 EM FERRO,4,19083.33375,76333.335,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101124,BM-03,TROCA0N7O,"",BRAIANN.ARAGAO
SD3 - BAIXA ALMOXARIFADO,020202,MSE - FILIAL BARRO ALTO,2025-07-15 00:00:00,PECAS,020608205,CORREIA STEINERT FBP09 00912,1,75227.71,75227.71,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101188,ORE SORTER 01,TROCAIFOK,"",BRAIANN.ARAGAO
SD1 - ENTRADAS,100106,STP LOG - FILIAL BARRO ALTO 2,2025-05-20 00:00:00,PECAS,040200598,BOMBA HIDRAULICA,1,73414,73414,2050001,MANUTENCAO DE MAQUINAS E EQUIP,2-DESPESA,219 - USO CONS. C/ ICMS + DIF.AL. RBC - CUSTO,1556  - COMPRA DE MATERIAL PARA USO OU CONSUMO,104002,MANUTENCAO OFF ROAD BARRO ALTO,107034,EH-07,000039028,05061057,VEDAPRESS VEDACOES PECAS E SERVICOS LTDA
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-03-24 00:00:00,MAO DE OBRA,020300001,SERVICOS DE MANUTENCAO EM MAQU,1,70714.79,70714.79,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,035 - SERVICOS TOMADOS - DESPESA,2933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101124,BM-03,000000143,18803812,PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA
SD3 - BAIXA ALMOXARIFADO,020202,MSE - FILIAL BARRO ALTO,2025-09-30 00:00:00,PECAS,020608205,CORREIA STEINERT FBP09 00912,1,61273.57,61273.57,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101188,ORE SORTER 01,TROCAIGBT,"",BRAIANN.ARAGAO
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-01-20 00:00:00,PECAS,020609812,VIRABEQU CAT 3133997,1,53091.84,53091.84,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,003 - INSUMO INTERMEDIARIO - C/ICMS,1101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101001,BM-01,000751533,34151100,SOTREQ S/A
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-01-10 00:00:00,MATERIAL DE DESGASTE,020400733,CORREIA 4/SPC8000 CONTINENTAL,2,26273.12,52546.24,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101168,BM-04,TROCA0KEO,"",GABRIEL.ANDRADE
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-08-25 00:00:00,MATERIAL DE DESGASTE,020400733,CORREIA 4/SPC8000 CONTINENTAL,2,26273.12,52546.24,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101168,BM-04,TROCA0NOM,"",BRAIANN.ARAGAO
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-04-07 00:00:00,PECAS,020606030,CORRENTE CAT 3969703,2,25743.75,51487.5,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,165 - INSUMO INTRMEDIARIO RBC S/EST,1101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101091,TE-03,000762785,34151100,SOTREQ S/A
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-04-17 00:00:00,MAO DE OBRA,020300001,SERVICOS DE MANUTENCAO EM MAQU,9,5659.884444444444,50938.96,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101154,GE-08,000012523,01475599,DCCO SOLUCOES EM ENERGIA E EQUIPAMENTOS LTDA
SD1 - ENTRADAS,100106,STP LOG - FILIAL BARRO ALTO 2,2025-10-08 00:00:00,MATERIAL DE DESGASTE,040800396,CONJ. ESTEIRA CAT 396-9703,2,25231.57,50463.14,2050001,MANUTENCAO DE MAQUINAS E EQUIP,2-DESPESA,219 - USO CONS. C/ ICMS + DIF.AL. RBC - CUSTO,1556  - COMPRA DE MATERIAL PARA USO OU CONSUMO,104002,MANUTENCAO OFF ROAD BARRO ALTO,107055,TE-03,000795170,34151100,SOTREQ S/A
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-01-20 00:00:00,MAO DE OBRA,020300003,SERVICOS DE MANUTENCAO EM MAQU,1,48085.24,48085.24,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101001,BM-01,000011855,34151100,SOTREQ S/A
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-04-03 00:00:00,MAO DE OBRA,020300003,SERVICOS DE MANUTENCAO EM MAQU,1,44883.34,44883.34,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101137,PC-09 - TGM,000012106,34151100,SOTREQ S/A
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-05-13 00:00:00,PECAS,020610054,INJETOR CAT 249-0713,6,6750,40500,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,003 - INSUMO INTERMEDIARIO - C/ICMS,1101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101124,BM-03,000768201,34151100,SOTREQ S/A
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-02-26 00:00:00,PECAS,020609766,KIT DISCO PAT2040002011 - FR 3,3,12060.243333333334,36180.73,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,244 - INSUMO INTERMEDIARIO - SIMPLES NACIONAL,2101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101124,BM-03,000000261,18803812,PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-04-11 00:00:00,PECAS,020609344,EMBREAGEM PTTECH PAT2040002008,1,34376.91,34376.91,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,244 - INSUMO INTERMEDIARIO - SIMPLES NACIONAL,2101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101124,BM-03,000000295,18803812,PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-02-13 00:00:00,PECAS,020603732,ROLAMENTO SKF 22340 CCK/C3W33,2,17093.06,34186.12,3010007,MAQUINAS/ EQUIPAMENTOS,3-CAPEX,053 - IMOB AND S/ DIFAL RBC,2551  - COMPRA DE BEM PARA O ATIVO IMOBILIZADO,302002,MANUTENCAO,101002,BM-02,000876648,61478897,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-10-22 00:00:00,PECAS,020610386,COROA CAT 356-3661,1,33727.6,33727.6,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,086 - INSUMO INTERMEDIARIO - C/ICMS RBC,1101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101079,PC-02,000797433,34151100,SOTREQ S/A
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-05-13 00:00:00,PECAS,020606655,RODA AXOR 4144 1200X24,10,3320.1919192,33201.919192,2050001,MANUTENCAO DE EQUIPAMENTOS,2-DESPESA,"","",302002,MANUTENCAO,101145,CB-18 TGM,TROCA0M33,"",KAIQUE.ALVES
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-08-20 00:00:00,MAO DE OBRA,020300001,SERVICOS DE MANUTENCAO EM MAQU,3,10788,32364,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101113,EH-09,000002100,41397579,VEDAPRESS SERVICOS HIDRAULICOS LTDA
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-02-13 00:00:00,PECAS,020603733,ROLAMENTO SKF 23244-E W33/C3,2,15261.425,30522.85,3010007,MAQUINAS/ EQUIPAMENTOS,3-CAPEX,053 - IMOB AND S/ DIFAL RBC,2551  - COMPRA DE BEM PARA O ATIVO IMOBILIZADO,302002,MANUTENCAO,101002,BM-02,000876648,61478897,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-06-26 00:00:00,MATERIAL DE DESGASTE,020400007,"CORREIA TRANSPORTADORA  EA 48""",44,689.1556534772727,30322.848753,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101001,BM-01,TROCA0MTH,"",BRAIANN.ARAGAO
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-01-20 00:00:00,PECAS,020601996,INJETOR CAT 10R3262.000,6,4766.658333333334,28599.95,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,003 - INSUMO INTERMEDIARIO - C/ICMS,1101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101001,BM-01,000751533,34151100,SOTREQ S/A
SD3 - BAIXA ALMOXARIFADO,020202,MSE - FILIAL BARRO ALTO,2025-02-07 00:00:00,MATERIAL DE DESGASTE,020400320,"CORREIA TRANSPORTADORA 36""",75,371.84746666666666,27888.56,2050001,MANUTENCAO DE EQUIPAMENTOS,2-DESPESA,"","",302002,MANUTENCAO,101183,TC-01-UCM - TC DO EMPILHAMENTO,TROCAIE81,"",KAIQUE.ALVES
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-09-03 00:00:00,MATERIAL DE DESGASTE,020400839,CORREIA 4/SPC8500 CONTINENTAL,2,13910.865,27821.73,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101124,BM-03,TROCA0NST,"",BRAIANN.ARAGAO
SD3 - BAIXA ALMOXARIFADO,100106,STP LOG - FILIAL BARRO ALTO 2,2025-01-16 00:00:00,PNEUS,030100012,PNEU 325/95R24,10,2777.0063698999998,27770.063699,2050001,MANUTENCAO DE MAQUINAS E EQUIP,2-DESPESA,"","",104002,MANUTENCAO OFF ROAD BARRO ALTO,107005,CB-05,191024T66,"",ALVARO.ISAQUE
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-01-21 00:00:00,PECAS,020609766,KIT DISCO PAT2040002011 - FR 3,1,27298.45,27298.45,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,244 - INSUMO INTERMEDIARIO - SIMPLES NACIONAL,2101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101124,BM-03,000000242,18803812,PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-02-13 00:00:00,PECAS,020607093,MARTELO CRN SANDIVIK,1,26591.372031,26591.372031,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101168,BM-04,TROCA0KU1,"",LUIZ.SANTOS
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-05-21 00:00:00,MATERIAL DE DESGASTE,020400839,CORREIA 4/SPC8500 CONTINENTAL,2,13092.615,26185.23,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,003 - INSUMO INTERMEDIARIO - C/ICMS,2101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101002,BM-02,000003757,19502804,ABECOM COMERCIAL DE PRODUTOS INDUSTRIAIS LTDA
SD1 - ENTRADAS,100106,STP LOG - FILIAL BARRO ALTO 2,2025-01-22 00:00:00,PECAS,040200598,BOMBA HIDRAULICA,1,25796.7,25796.7,2050001,MANUTENCAO DE MAQUINAS E EQUIP,2-DESPESA,212 - USO CONS. C/ ICMS + SEM DIFAL - CUSTOS,1556  - COMPRA DE MATERIAL PARA USO OU CONSUMO,104002,MANUTENCAO OFF ROAD BARRO ALTO,107044,EH-17,000752030,34151100,SOTREQ S/A
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-01-21 00:00:00,MAO DE OBRA,020300001,SERVICOS DE MANUTENCAO EM MAQU,1,23490.75,23490.75,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS,2933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101124,BM-03,000000132,18803812,PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-01-20 00:00:00,PECAS,020609844,TURBOALIM CAT 2472965,1,22982.58,22982.58,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,003 - INSUMO INTERMEDIARIO - C/ICMS,1101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101001,BM-01,000751537,34151100,SOTREQ S/A
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-06-24 00:00:00,MAO DE OBRA,020300001,SERVICOS DE MANUTENCAO EM MAQU,71,321.887323943662,22854.000000000004,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101001,BM-01,000000685,17912159,PRO SOLDA SERVICOS E LOCACOES LTDA
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-05-22 00:00:00,MATERIAL DE DESGASTE,020400196,"CORREIA TRANSPORTADORA 46""",42,530.7523809523809,22291.6,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,244 - INSUMO INTERMEDIARIO - SIMPLES NACIONAL,1101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101001,BM-01,000004050,22152030,MASTERBELT COMERCIO VAREJISTA DE CORREIAS LTDA-ME
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-04-17 00:00:00,PNEU,020700052,SERVICOS DE RECAPAGEM E REFORM,6,3697,22182,2040010,PNEUS DE MAQUINAS E EQUIPAMENT,2-DESPESA,034 - SERVICOS TOMADOS - DESPESA,2933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101110,TP-02,202502283,20502605,RECAPAGEM ALTEROSA LTDA
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-04-17 00:00:00,PNEU,020700052,SERVICOS DE RECAPAGEM E REFORM,1,21650,21650,2040010,PNEUS DE MAQUINAS E EQUIPAMENT,2-DESPESA,035 - SERVICOS TOMADOS - DESPESA,2933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101078,PC-01,000002294,20502605,RECAPAGEM ALTEROSA LTDA
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-10-17 00:00:00,PNEU,020700067,PNEU 26.5R25,1,21650,21650,2040010,PNEUS DE MAQUINAS E EQUIPAMENT,2-DESPESA,035 - SERVICOS TOMADOS - DESPESA,2933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101078,PC-01,202506166,20502605,RECAPAGEM ALTEROSA LTDA
SD3 - BAIXA ALMOXARIFADO,020202,MSE - FILIAL BARRO ALTO,2025-06-20 00:00:00,MATERIAL DE DESGASTE,020400498,"CORREIA TRANSPORTADORA 30""X 2",81,264.16249999999997,21397.1625,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101188,ORE SORTER 01,TROCAIFGF,"",GABRIEL.ANDRADE
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-06-05 00:00:00,MATERIAL DE DESGASTE,020400007,"CORREIA TRANSPORTADORA  EA 48""",31,689.1556534516129,21363.825257,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101001,BM-01,TROCA0MI1,"",BRAIANN.ARAGAO
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-08-04 00:00:00,PECAS,020609766,KIT DISCO PAT2040002011 - FR 3,1,20747.74,20747.74,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,247 - INSUMO INTERMERDIARIO SIMPLES NAC. S/ICMS S/EST,2101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101124,BM-03,000000329,18803812,PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA
SD1 - ENTRADAS,100106,STP LOG - FILIAL BARRO ALTO 2,2025-10-29 00:00:00,PECAS,040200724,DISCO CAT 6Y7916.000,36,568.6572222222222,20471.66,2050001,MANUTENCAO DE MAQUINAS E EQUIP,2-DESPESA,219 - USO CONS. C/ ICMS + DIF.AL. RBC - CUSTO,1556  - COMPRA DE MATERIAL PARA USO OU CONSUMO,104002,MANUTENCAO OFF ROAD BARRO ALTO,107045,MN-01,000798526,34151100,SOTREQ S/A
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-04-03 00:00:00,PECAS,020605130,VALVULA CAT 2443114.000,7,2902.5128571428572,20317.59,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,003 - INSUMO INTERMEDIARIO - C/ICMS,1101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101137,PC-09 - TGM,000762226,34151100,SOTREQ S/A
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-03-31 00:00:00,PECAS,020606739,VALVULA SANDVIK SA10-16-7101,1,19966,19966,2050001,MANUTENCAO DE EQUIPAMENTOS,2-DESPESA,"","",302002,MANUTENCAO,101124,BM-03,TROCA0LGU,"",LUIZ.SANTOS
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-03-18 00:00:00,MAO DE OBRA,020300001,SERVICOS DE MANUTENCAO EM MAQU,1,19023.84,19023.84,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,035 - SERVICOS TOMADOS - DESPESA,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101137,PC-09 - TGM,000012049,34151100,SOTREQ S/A
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-09-29 00:00:00,MAO DE OBRA,020300001,SERVICOS DE MANUTENCAO EM MAQU,1,18900,18900,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,035 - SERVICOS TOMADOS - DESPESA,2933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101188,ORE SORTER 01,000000702,02484859,MINASBELT CORREIAS INDUSTRIAIS LTDA
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-03-20 00:00:00,MATERIAL DE DESGASTE,020400001,"CORREIA TRANSPORTADORA 39""",44,417.9377272727272,18389.26,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101183,TC-01-UCM - TC DO EMPILHAMENTO,TROCA0LB7,"",LUIZ.SANTOS
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-04-24 00:00:00,MAO DE OBRA,020300001,SERVICOS DE MANUTENCAO EM MAQU,15,1150.6399999999999,17259.6,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101136,PC-08 - TGM,000000682,17912159,PRO SOLDA SERVICOS E LOCACOES LTDA
SD3 - BAIXA ALMOXARIFADO,020202,MSE - FILIAL BARRO ALTO,2025-04-07 00:00:00,PECAS,020606792,JOYSTICK CAT 4588673,1,16917.83,16917.83,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101137,PC-09 - TGM,TROCAIES8,"",LUIZ.SANTOS
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-05-19 00:00:00,MAO DE OBRA,020300003,SERVICOS DE MANUTENCAO EM MAQU,1,16860.8,16860.8,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101155,TE-06,000012257,34151100,SOTREQ S/A
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-02-25 00:00:00,PECAS,020607221,PAINEL,1,16755.39,16755.39,3010007,MAQUINAS/ EQUIPAMENTOS,3-CAPEX,053 - IMOB AND S/ DIFAL RBC,1551  - COMPRA DE BEM PARA O ATIVO IMOBILIZADO,302002,MANUTENCAO,101002,BM-02,000756700,34151100,SOTREQ S/A
